Переменная|Англ.|Русс.|Перевод
franchise.views.organization.vendor_name|Supplier Name:|Название поставщика:|Numele furnizorului:
sms.designated_catalog|Supplier assigned a catalogue for you at mix-cart.com|Поставщик {vendor_name} назначил для вас каталог на mixcart.ru|Furnizor de {vendor_name} a stabilit-o pentru Dvs. un catalog pe mixcart.ru
sms.changed_catalog|Supplier changed a catalogue for you at mix-cart.com|Поставщик {vendor_name} изменил для вас каталог на mixcart.ru|Furnizorul {vendor_name} a modificat pentru Dvs. un catalog pe mixcart.ru
frontend.views.client.add.vendor_info|Supplier data|Информация о поставщике|Informații despre furnizor
frontend.views.client.add.var|Supplier has been already added!|Поставщик уже добавлен!|Furnizorul este deja adăugat!
common.models.already_register|Supplier has been registered in the system. You can add the supplier clicking<strong>Invite</strong>|Поставщик уже зарегистрирован в системе, Вы можете его добавить нажав кнопку <strong>Пригласить</strong>|Furnizorul este deja înregistrat în sistem, puteți să-l adăugați făcând clic pe butonul <strong>Invitați</strong>
common.models.vendor_not_auth|Supplier has not been authorized yet / add catalogue|Поставщик еще не авторизован / добавляем каталог|Furnizorul nu este autorizat / adaugă catalog
market.controllers.site.vendor_empty|Supplier has not still added his products to the market platform MixCart|Поставщик еще не добавил свои товары на торговую площадку MixCart|Furnizorul nu și-a adăugat încă marfa pe platforma Mixart
frontend.views.request.vendor_added|Supplier is added|Поставщик добавлен|Furnizorul a fost adăugat
market.controllers.site.no_such_vendor|Supplier is not found!|Поставщик не найден!|Furnizorul nu a fost identificat!
frontend.views.vendor.system_down|Supplier main catalogue loading while entering the system|Загрузка Главного каталога поставщика при входе в систему|Descărcarea catalogului principal al furnizorului la conectarea în sistem
common.mail.layouts.revolution|Supplier management revolution.|Революция в работе с поставщиками.|Revoluție în lucrul cu furnizorii.
frontend.views.site.revolution|Supplier management revolution<br/>2 clicks purchase|Революция в работе с поставщиками<br/>Закупка в 2 клика.|Revoluția în lucrul cu furnizorii <br/> Achiziționați în 2 clicuri.
frontend.views.vendor.vendor_name|Supplier name|Название поставщика|Numele furnizorului
frontend.views.client.supp.phone|Supplier phone number|Телефон поставщика|Numărul de telefon al furnizorului
franchise.views.organization.price_lists|Supplier price list:|Прайс-листы поставщика|Lista de prețuri ale furnizorului
frontend.views.order.vendors_order|Supplier received order|Заказ у поставщика|Comandă de la furnizor
franchise.views.organization.vendors_req|Supplier reference details|Реквизиты поставщика|Datele fiscale și bancare ale furnizorului
common.mail.request_new_callback.on_your_response|Supplier responded your request <b>{product}</b>|На Вашу заявку <b>{product}</b> поступил отклик от поставщика|Cererea dvs. pentru <b> {product} </ b> a fost primită de către furnizor
franchise.views.anal.vendors_stat|Supplier statistics|Статистика поставщика|Statistica furnizorului
franchise.views.finance.vendors_to_me_two|Supplier to me|Поставщик мне|Furnizorul mie
frontend.views.client.add.var5|Supplier was added!|Поставщик добавлен!|Furnizor adăugat!
frontend.views.client.add.var8|Supplier will be deleted from your List of Suppliers|Поставщик будет удален из Вашего списка поставщиков|Furnizorul va fi eliminat din lista dvs. de furnizori
franchise.views.finance.system_debt|Supplier's debt to system:|Долг поставщика перед системой:|Datoria furnizorului către sistem:
franchise.views.finance.vendors_turnover|Supplier's turnover:|Оборот поставщика:|Cifra de afaceri a furnizorului:
frontend.views.order.vendor_two|Supplier:|Поставщик:|Furnizor:
market.views.site.search_supp.vendors_two|Suppliers|Поставщики|Furnizori
franchise.views.organization.plugged_vendors|Suppliers added by you and related information|Подключенные Вами поставщики и информация о них|Furnizorii conectați de Dvs. și informații despre aceștia
franchise.views.site.request.vendors_offers|Suppliers proposals|Предложения поставщиков|Oferte furnizori
frontend.views.site.vendors_sales|Suppliers sales|Распродажи поставщиков|Stocurile furnizorilor
franchise.views.site.vendors_to_me|Suppliers to Me|Поставщики Мне:|Furnizorii mie:
franchise.views.finance.vendors_to_me|Suppliers to me|Поставщики Мне|Furnizorii către mine
franchise.views.catalog.vendors_catalogs|Supplier’s catalogues|Каталоги поставщика|Cataloagele furnizorului
frontend.views.request.vendors_comment|Supplier’s comment:|Комментарий поставщика:|Comentariu furnizorului:
frontend.views.site.of_course_two|Surely! For this purpose, we developed function enabling management of order processing executing by different managers. <br/>Moreover, each manager can be connected to definite customers. You can see turnover of your customers and obtain information about the turnover reduction of any of your customer and react in time. |Конечно! Мы специально разработали функционал, позволяющий управлять обработкой заказов разным менеджерам. <br/>Более того, каждый менеджер может быть привязан к своим клиентам. Видеть обороты своих клиентов, а так же получать информацию о снижении оборотов закупок того или иного клиента. И своевременно отреагировать.|Bineînțeles! Am dezvoltat special o funcționalitate care vă permite să gestionați procesarea comenzilor de către diferiți manageri. <br/> În plus, fiecare manager poate fi atașat clienților săi. Pentru a vedea cifra de afaceri a clienților lor, precum și pentru a primi informații despre scăderea cifrei de afaceri a achizițiilor unui anumit client și pentru a reacționa la timp.
